"genre","publisher","developer","critic_score","release_date","total_sales","release_Month"
"Shooter","Ubisoft","Ubisoft Montreal",NA,2015-12-01,4.36,12
"Shooter","Activision","High Moon Studios",9.1,2014-11-04,4.34,11
"Action-Adventure","Ubisoft","Ubisoft Montreal",NA,2014-05-27,4.32,5
"Shooter","Atari","Atari",NA,1981-01-01,4.31,1
"Action","Eidos Interactive","Rocksteady Studios",9,2009-08-25,4.28,8
"Shooter","Activision","High Moon Studios",9.1,2014-11-04,4.27,11
"Misc","Namco","Mass Media",NA,2001-06-10,4.24,6
"Action","Ubisoft","Ubisoft Montreal",8.8,2011-11-15,4.23,11
"Action","Ubisoft","Ubisoft Montreal",7.9,2011-11-15,4.22,11
"Sports","EA Sports","EA Canada",8.4,2005-10-04,4.21,10
"Fighting","Capcom","Capcom / Dimps Corporation",9.3,2009-02-17,4.19,2
"Sports","EA Sports","EA Canada",9.2,2011-09-27,4.18,9
"Shooter","Activision","Infinity Ward",7.5,2013-11-15,4.17,11
"Platform","Ultra Games","Konami",5.9,1989-06-01,4.17,6
"Action","Hasbro Interactive","Millenium Interactive",NA,1997-09-30,4.16,9
"Sports","EA Sports","EA Canada",NA,2013-09-24,4.15,9
"Shooter","Electronic Arts","EA DICE",6.9,2015-11-17,4.15,11
"Sports","EA Sports","EA Tiburon",9.4,2002-08-12,4.14,8
"Action","Ubisoft","Ubisoft Montreal",NA,2014-11-11,4.14,11
"Shooter","Activision","Bungie",NA,2017-09-06,4.14,9
"Sports","EA Sports","Team Fusion",8.4,2006-10-03,4.11,10
"Action","Warner Bros. Interactive","Rocksteady Studios",8.1,2015-06-23,4.11,6
"Simulation","Electronic Arts","Maxis",7,2014-09-02,4.1,9
"Role-Playing","Bethesda Softworks","Obsidian Entertainment",8.2,2010-10-19,4.08,10
"Misc","Global Star Software","Cat Daddy Games",4.2,2007-08-28,4.06,8
"Shooter","Ubisoft","Ubisoft Montreal",8.4,2014-11-18,4.06,11
"Action","Ubisoft","Ubisoft Montreal",NA,2017-10-27,4.06,10
"Sports","Konami","Konami Computer Entertainment Tokyo",8.9,2006-02-07,4.06,2
"Racing","Microsoft Game Studios","Turn 10 Studios",9.1,2007-05-29,4.05,5
"Misc","Namco","Namco",NA,1997-01-31,4.05,1
"Fighting","Namco","Namco",8.7,2000-10-25,4.05,10
"Role-Playing","Bethesda Softworks","Bethesda Game Studios",8.8,2008-10-28,4,10
"Role-Playing","Bethesda Softworks","Bethesda Game Studios",9.2,2011-11-11,3.99,11
"Sports","2K Sports","Visual Concepts",8.7,2015-09-29,3.98,9
"Misc","Namco","Digital Eclipse",NA,2005-08-30,3.98,8
"Action","Ubisoft","Ubisoft",7.9,2018-03-27,3.95,3
"Shooter","Electronic Arts","EA DICE",8.3,2013-11-15,3.94,11
"Action-Adventure","Ubisoft","Ubisoft Montreal",8.7,2013-10-29,3.94,10
"Sports","Activision","Neversoft Entertainment",8.7,2003-10-27,3.9,10
"Music","Ubisoft","Ubisoft Paris",7.4,2013-10-08,3.89,10
"Sports","Sony Computer Entertainment","SCE San Diego Studio",7.6,2010-09-17,3.88,9
"Sports","Konami","Konami Computer Entertainment Tokyo",9.3,2005-02-01,3.85,2
"Misc","Namco","Namco",NA,1996-07-31,3.84,7
"Adventure","LucasArts","Traveller's Tales",7.5,2008-06-03,3.76,6
"Simulation","Electronic Arts","Maxis",7.3,2002-09-23,3.76,9
"Platform","Sony Computer Entertainment","High Impact Games",8.5,2007-02-13,3.75,2
"Sports","Electronic Arts","EA Canada",8.8,2016-09-27,3.71,9
"Sports","EA Sports","EA Canada",8.4,2004-10-12,3.7,10
"Sports","Activision","Neversoft Entertainment",9.6,2002-10-23,3.67,10
"Simulation","Electronic Arts","EA Redwood Shores",6.7,2007-09-18,3.66,9
"Racing","Rockstar Games","Rockstar Leeds",7.2,2005-06-27,3.66,6
"Shooter","Sony Computer Entertainment","Zipper Interactive",8,2002-08-27,3.65,8
"Shooter","Electronic Arts","EA DICE",8.7,2013-10-29,3.64,10
"Platform","Sony Computer Entertainment","Naughty Dog",9,2001-12-04,3.64,12
"Sports","Konami","Konami",8.2,2008-03-11,3.63,3
"Sports","EA Sports","EA Canada",9,2009-10-20,3.63,10
"Misc","Activision","Vicarious Visions",8.4,2008-10-26,3.62,10
